rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
176,"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",94,172,18,"13153"
177,"spotify:track:5gOtq0sKU24ZF8hnXlSp1V","Dave, WizKid","System (feat. WizKid)","Neighbourhood",162,181,16,"13104"
178,"spotify:track:0u2P5u6lvoDfwTYjAADbn4","Billie Eilish, Khalid","lovely (with Khalid)","Darkroom",178,194,7,"13090"
179,"spotify:track:1eJ1pgxRJWi0LYPbS9CxS3","Black Sherif","First Sermon","Blacko Management Group",74,196,9,"13032"
180,"spotify:track:0hquQWY3xvYqN4qtiquniF","Doja Cat","Vegas (From the Original Motion Picture Soundtrack ELVIS)","Kemosabe Records/RCA Records",180,189,2,"13006"
181,"spotify:track:3XnWQcoDa58ZPV6AdOdS1S","Savage, BNXN fka Buju","Confident","Savage, Distributed by Dvpper",79,175,18,"12870"
182,"spotify:track:1IthE5GNiRzFN5CVaCa445","BTS","Born Singer","BIGHIT MUSIC",182,-1,1,"12845"
183,"spotify:track:46IZ0fSY2mpAiktS3KOqds","Adele","Easy On Me","Columbia",107,188,18,"12778"
184,"spotify:track:37Nqx7iavZpotJSDXZWbJ3","Drake, Lil Baby","Girls Want Girls (with Lil Baby)","OVO",154,185,14,"12773"
185,"spotify:track:3R2Etej4zzbt8LTs3rvJA1","Ayra Starr","Fashion Killer","Mavin Records",53,191,17,"12689"
186,"spotify:track:1zi7xx7UVEFkmKfv06H8x0","Drake, WizKid, Kyla","One Dance","Cash Money Records/Young Money Ent./Universal Rec.",179,-1,5,"12379"
187,"spotify:track:4psOOvBSTGC5NE1uxvwkbz","Zinoleesky","Naira Marley","Marlian Music",89,192,18,"12377"
188,"spotify:track:558ULLj8yY2vT8XGtgY0q9","Olamide, Bad Boy Timz","Loading (feat. Bad Boy Timz)","YBNL Nation / EMPIRE",100,-1,16,"12372"
189,"spotify:track:1eC4Sn5UcMAufqvrZg8e9R","Dremo, Simi","Confam","DMW",51,167,13,"12288"
190,"spotify:track:7mFrwc86C3vZKobwpK0jdH","Fave","Beautifully","Tumblar",101,200,10,"12264"
191,"spotify:track:2Iv3GHM3xFKIPbYSnhJAXO","Adekunle Gold","Okay","EMI",104,193,18,"12227"
192,"spotify:track:4IxeKzzxUSEgivgtbSbyIK","Post Malone, Gunna","I Cannot Be (A Sadder Song) (with Gunna)","Mercury Records/Republic Records",58,58,2,"12153"
193,"spotify:track:7rpWDu9GPlLxbLorYKVys7","Burna Boy","Gbona","Spaceship Entertainment Ltd.",193,195,2,"12126"
194,"spotify:track:2DKu5sidKO85F6HOZXdVX8","Zlatan","Ale Yi","Zanku Records",78,186,18,"12110"
195,"spotify:track:78OD9RZjAyQcfsAigmRuGs","Zinoleesky","Kilofeshe","Marlian Music",119,-1,16,"12036"
196,"spotify:track:16vqEDaCZpq5zdgop8U9uM","Costa Titch, C’Buda M, Alfa Kat, Banaba Des, Sdida, Man T","Big Flexa","Titch Gang Records",196,-1,1,"11952"
197,"spotify:track:1HvTxgCj0mTzQlEo0zLvFb","Lil Tjay","In My Head","Columbia",81,190,11,"11904"
198,"spotify:track:61ltF3Ur8S1WYnrDVuoi79","Ajebo Hustlers","Solace","The Plug Entertainment",93,-1,7,"11862"
199,"spotify:track:0eqmxkeJHQs3mdOEFluYXB","Kelvyn Boy","Down Flat","Blakk Arm Entertainment",125,178,15,"11840"
200,"spotify:track:1MZtr7IH5qtjIkqrXj8WOJ","WizKid, Justin Bieber, Tems","Essence (feat. Justin Bieber & Tems)","Starboy/RCA Records",72,-1,16,"11738"
